ulasan;rully;cheva;najib;sentiment
berfungsi dengan baik. Joss;p;p;p;positive
bagus, barang sesuai deskripsi;p;p;p;positive
Packing aman dan kondisi diterima dengan normal;p;p;p;positive
pengiriman cepat dan barang ok banget;p;p;p;positive
bagus sesuai dengan gambar;p;p;p;positive
brg bagus tq 👍;p;p;p;positive
Kualitas sangat bagus 👍;p;p;p;positive
mantap;p;p;p;positive
packing nya kaya ga aman, ga ada bublewarpnya, dicoba sih bagus, smoga awet batery nya terimakasih;n;n;n;negative
Barang sesuai. pengiriman cepat;p;p;p;positive
lampu bagian depan display baterai tidak nyala. tidak bisa tahan lama. suka error pada saat pemakaian 1jam. ini testimoni setelah pemakaian ±1bln;n;n;n;negative
Kualitas oke, pengiriman aman dan cepat, recommended Seller 👍;p;p;p;positive
susah connect bluetooth nya  kalau  sudah keluar, masuk lagi susah connectnya;p;n;n;negative
bagus bangat suara nikmat, kondisi masih sangat freess, wangi nya baru. woww toko ini sangat memuaskan pembelinya. terima kasih kk yg guanteng dan cuantik.;p;p;p;positive
worth it la;p;p;p;positive
lama bangetttttt;n;p;n;negative
Headset nya cuma idup 1, yg kiri ga mau ngecas. Nyala pas awal2 aja, setelah baterai habis ga bisa ngecas. Sangat tidak recomended, kecuali emag mau buang2 duit. Pastikan... ;n;n;n;negative
recommended seller;p;p;p;positive
barang oke, sesuai pesanan, kualitas bagus, memuaskan .. terima kasih;p;p;p;positive
pesenan sudah datang dan rapi semua berfungsi dengan baik semoga awet;p;p;p;positive
mantap berfungsi dengan baik.. suara juga oke;p;p;p;positive
mantap langsung pake, suara bassnya keren... recomended. istri langsung minta beliin. bakal pesen lagi nih;p;p;p;positive
Pemakaian sudah 3 bulan,tetapi di status baterainya mati, walaupun sudah di cas tetapi masih aja tidak ada status baterainya;n;n;n;negative
barang sesuai;p;p;p;positive
Kotaknya besar bgt & setelah dimasukkan ke dlm kotak earphonenya msh connected mesti disconnect manual;p;n;n;negative
yg sblh kiri ga berfungsi;n;n;n;negative
berfungsi dengan baik. semoga awet;p;p;p;positive
Warna tdk sesuai permintaan;n;n;n;negative
oke terimaksih;p;p;p;positive
Barang sesuai deskripsi, cantik nampak mewah, Bass nendang sayang delivery agak lemot;p;p;p;positive
Respon cepat, pengiriman kilat. Thx gan;p;p;p;positive
KUALITAS BARANG BAGUS WALAUPUN YANG KIRI SUARANYA AGAK KECIL SEDANGKAN YG KANAN NORMAL JDI GAK BALANCE SUARANYA SEPERTI KOMEN KOMEN YANG LAIN BASSNYA KERASA BANGET ADMIN... ;p;p;n;positive
Packing aman, rapi dan kualitas barang kece 👍;p;p;p;positive
Barang yg tertera earphone dan case earphone namun yg datang ke saya hanya earphonenya saja tanpa case earphone atau cover earphone,sudah komplain namun belum ada tindak... ;n;n;n;negative
